scenario,delta_on,turn,phi,cv,is_drifting,S_fro_norm,step,gamma
MIXED,True,0,0.728694,0.0,0,0.1,1,0.822643
MIXED,True,1,0.92,0.0,0,0.139631,2,0.822643
MIXED,True,2,0.92,0.097912,0,0.166351,3,0.655167
MIXED,True,3,0.87231,0.067176,0,0.172176,4,0.686584
MIXED,True,4,0.72402,0.107243,0,0.181356,5,0.756561
MIXED,True,5,0.576174,0.180785,0,0.222614,6,0.657433
MIXED,True,6,0.677114,0.156626,0,0.247303,7,0.695713
MIXED,True,7,0.729733,0.131405,0,0.255633,8,0.729712
MIXED,True,8,0.872262,0.13888,0,0.255758,9,0.720281
MIXED,True,9,0.918963,0.138855,0,0.243627,10,0.720313
MIXED,True,10,0.914152,0.125792,0,0.250777,11,0.736438
MIXED,True,11,0.687676,0.142237,0,0.270771,12,0.715869
MIXED,True,12,0.594542,0.179285,0,0.256788,13,0.659964
MIXED,True,13,0.637441,0.166013,0,0.257486,14,0.681484
MIXED,True,14,0.781573,0.14318,0,0.26689,15,0.71461
MIXED,True,15,0.888592,0.148727,0,0.262325,16,0.707027
MIXED,True,16,0.86657,0.130907,0,0.259043,17,0.73032
MIXED,True,17,0.801983,0.114314,0,0.265921,18,0.749264
MIXED,True,18,0.681098,0.124626,0,0.252137,19,0.737797
MIXED,True,19,0.597674,0.153138,0,0.251586,20,0.700783
MIXED,True,20,0.569423,0.168831,0,0.247546,21,0.67705
MIXED,True,21,0.718633,0.13863,0,0.251361,22,0.561443
MIXED,True,22,0.850657,0.144133,0,0.266373,23,0.549871
MIXED,True,23,0.92,0.139667,0,0.274135,24,0.559265
MIXED,True,24,0.828916,0.105505,0,0.284467,25,0.62901
MIXED,True,25,0.615399,0.167198,0,0.285163,26,0.501363
MIXED,True,26,0.524969,0.211851,0,0.275917,27,0.413165
MIXED,True,27,0.547538,0.141499,0,0.293612,28,0.555414
MIXED,True,28,0.769118,0.176807,0,0.292036,29,0.481478
MIXED,True,29,0.829793,0.144894,0,0.296697,30,0.548267
MIXED,True,30,0.92,0.149094,0,0.290849,31,0.539412
MIXED,True,31,0.861017,0.107864,0,0.305673,32,0.624381
